Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)	Номер дома (Яндекс)
Саратовская область	Саратов	улица имени Сергея Фёдоровича Тархова	31
Смоленская область	Смоленск	проспект Строителей	8В
Республика Татарстан	Иннополис	Спортивная улица	132
Алматы	Алматы	улица Айнамкоз	5
Хабаровский край	Хабаровск	Оборонная улица	4
Тверская область	Тверь	Ипподромная улица	2А
Московская область	Жуковский	улица Дугина	6
Самарская область	Самара	Майская улица	7
Ульяновская область	Ульяновск	улица Ефремова	49
Калужская область	Калуга	улица Клюквина	27
Костромская область	Кострома	Южная улица	6
Ярославская область	Рыбинск	улица Рокоссовского	8А
Ярославская область	Ярославль	улица Калинина	21
Москва	Москва	Изюмская улица	26
Московская область	Королёв	микрорайон Юбилейный, улица Тихомировой	9
Московская область	Электросталь	улица Захарченко	5
Саратовская область	Саратов	улица имени В.М. Азина	33А
Орловская область	Орёл	улица Родзевича-Белевича	8
Калужская область	Калуга	улица Суворова	21
Москва	Москва	улица Дмитриевского	1
Москва	Москва	Широкая улица	5к1
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект	42
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Атарбекова	19
Ярославская область	Ярославль	улица Панина	5к4
Ярославская область	Ярославль	улица Гоголя	17А
Курская область	Железногорск	улица Ленина	47
Краснодарский край	Краснодар	улица им. Шаляпина Ф.И.	31В
Хабаровский край	Хабаровск	улица Суворова	43
Вологодская область	Череповец	Первомайская улица	64
Павлодарская область	Экибастуз	улица Естая Беркимбаева	97
Ставропольский край	Ставрополь	Промышленный район, микрорайон № 21, Ботанический проезд	4
Павлодарская область	Экибастуз	улица Естая Беркимбаева	97
Санкт-Петербург	Санкт-Петербург	4-я линия Васильевского острова	45
Московская область	Химки	улица 9 Мая	7
Архангельская область	Архангельск	Воскресенская улица	95
Нижегородская область	Дзержинск	улица Пирогова	35В
Московская область	Электросталь	проспект Ленина	8
Ярославская область	Ярославль	улица Калинина	39к3
Ярославская область	Ярославль	Московский проспект	129
Иркутская область	Иркутск	улица Александра Невского	67
Вологодская область	Череповец	улица Мира	23
Краснодарский край	Краснодар	Офицерская улица	48
Саратовская область	Саратов	Большая Горная улица	315
Свердловская область	Екатеринбург	улица Шейнкмана	100
Саратовская область	Саратов	Высокая улица	9
Смоленская область	Смоленск	улица Лавочкина	52А
Калужская область	Калуга	улица Ленина	17
Москва	Москва	улица Руднёвка	39
Москва	Москва	Варшавское шоссе	5к1
Архангельская область	Архангельск	исторический район Соломбала, улица Адмирала Кузнецова	16к1
Ставропольский край	Ставрополь	улица 50 лет ВЛКСМ	97
Краснодарский край	Сочи	микрорайон Новый Сочи, улица Пирогова	18
Воронежская область	Воронеж	Советский район, микрорайон Придонской, улица 232 Стрелковой Дивизии	39
Свердловская область	Екатеринбург	Ангарская улица	42
Москва	Москва	улица Руднёвка	12
Тюменская область	Тюмень	улица Хохрякова	83
Санкт-Петербург	Санкт-Петербург	Сердобольская улица	35
Павлодарская область	Павлодар		
Ярославская область	Ярославль	проспект Фрунзе	31
Смоленская область	Смоленск	улица Шевченко	91Г
Самарская область	Тольятти	улица Маршала Жукова	8
Орловская область	Орёл	улица Алроса	3
Калининградская область	Калининград	Батальная улица	92
Калужская область	Калуга	улица Суворова	160
Красноярский край	Красноярск	Октябрьский район, улица Академгородок	23
Краснодарский край	Краснодар	улица Героев-Разведчиков	8к2
Брянская область	Брянск	улица Богдана Хмельницкого	3
Калужская область	Калуга	Малоярославецкая улица	3
Московская область	Одинцово	микрорайон Новая Трёхгорка, Кутузовская улица	19
Санкт-Петербург	Кронштадт	Советская улица	37
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Тельмана	7
Курская область	Курчатов	улица Строителей	3
Московская область	Люберцы	улица Кирова	63
Москва	Москва	проспект Мира	131к1
Тульская область	Тула	улица Максима Горького	37
Омская область	Омск	Волгоградская улица	4В
Санкт-Петербург	Сестрорецк	Приморское шоссе	326
Москва	Москва	Кусковская улица	33
Московская область	Котельники	микрорайон Южный	9
Москва	Москва	Заводской проезд	20
Московская область	Наро-Фоминск	улица Пешехонова	4
Костанайская область	Костанай	улица Карбышева	9
Краснодарский край	Краснодар	Совхозная улица	18
Санкт-Петербург	Санкт-Петербург	Лермонтовский проспект	26
Санкт-Петербург	Санкт-Петербург	улица Рубинштейна	25
Омская область	Омск	посёлок Чкаловский, улица Петра Осминина	4
Москва	Москва	улица Каховка	15к2
Краснодарский край	Краснодар	улица Стасова	10
Восточно-Казахстанская область	Усть-Каменогорск	улица Шелехова	1
Московская область	Химки	улица Энгельса	4
Республика Татарстан	Иннополис	Спортивная улица	132
Ростовская область	Ростов-на-Дону	Рабочая площадь	20/1А
Самарская область	Тольятти	1-й квартал, бульвар Баумана	6
Ярославская область	Ярославль	улица Добрынина	10к5
Курская область	Железногорск	улица Гагарина	31к2
Московская область	Балашиха	улица Твардовского	20
Ярославская область	Ярославль	улица Саукова	10
Смоленская область	Смоленск	проезд Соловьиная Роща	13А
Самарская область	Тольятти	улица Дзержинского	43
Воронежская область	Воронеж	улица Артамонова	38А
Пермский край	Пермь	Парковый проспект	48
Алматы	Алматы	6-й микрорайон	10
Московская область	Люберцы	Шоссейная улица	10
Калужская область	Калуга	улица Калинина	4
Ярославская область	Ярославль	жилой район Липовая Гора, Индустриальный переулок	13к2
Ярославская область	Ярославль	Московский проспект	98
Волгоградская область	Волгоград	улица Малиновского	4А
Краснодарский край	Краснодар	Гаражная улица	156к1
Московская область	Химки	микрорайон Левобережный, Совхозная улица	3
Москва	Москва	улица Ухтомского Ополчения	4
Ростовская область	Ростов-на-Дону	микрорайон Северный, Орбитальная улица	48А
Московская область	Химки	улица Лавочкина	19
Калужская область	Калуга	улица Чехова	5
Ярославская область	Ярославль	Московский проспект	147
Московская область	Орехово-Зуево	улица Урицкого	55
Волгоградская область	Волгоград	проспект имени В.И. Ленина	20
Астраханская область	Астрахань	улица Генерала Герасименко	6к2
Московская область	Реутов	улица Ленина	15
Санкт-Петербург	Санкт-Петербург	Лесной проспект	37к2
Самарская область	Тольятти	бульвар 50 лет Октября	19
Самарская область	Тольятти	улица Жилина	46
Орловская область	Мценск	1-й микрорайон	4
Ивановская область	Иваново	улица Маршала Василевского	9
Архангельская область	Новодвинск	улица Космонавтов	1
Кемеровская область	Кемерово	Волгоградская улица	20
Краснодарский край	посёлок Российский	Альпийская улица	3
Нижегородская область	Дзержинск	улица Терешковой	26В
Тульская область	Узловая	квартал 50 лет Октября	8
Москва	Москва	улица Маршала Голованова	4
Смоленская область	Смоленск	2-й Рославльский переулок	5
Москва	Москва	3-я Филёвская улица	7к2
Московская область	Чехов	улица Маркова	9
Ярославская область	Ярославль	Мануфактурная улица	28
Тульская область	Тула	улица Мира	15А
Москва	Москва	Светлый проезд	6к4
Костромская область	Волгореченск	Юбилейная улица	6
Ярославская область	Ярославль	улица Некрасова	68
Ярославская область	Ярославль	улица 8 Марта	21к2
Ярославская область	Ярославль	улица Громова	26
Ставропольский край	Ставрополь	улица Пирогова	38/3
Калининградская область	Калининград	Южный бульвар	33
Саратовская область	Саратов	Рабочая улица	103
Нижегородская область	Нижний Новгород	Канавинский район, жилой район Мещерское Озеро, Мещерский бульвар	5
Республика Татарстан	Казань	Парковая улица	31
Ростовская область	Ростов-на-Дону	проспект Ленина	93
Санкт-Петербург	посёлок Металлострой	Садовая улица	6
Краснодарский край	Краснодар	улица им. Героя Яцкова И.В.	17
Московская область	рабочий посёлок Октябрьский	Первомайская улица	4
Москва	Москва	проезд Серебрякова	3
Костромская область	Кострома	Индустриальная улица	1
Московская область	Химки	улица Панфилова	11
Москва	Москва	Новощукинская улица	4
Саратовская область	Саратов	улица Лебедева-Кумача	88
Краснодарский край	Краснодар	Уральская улица	178
Москва	Москва	Митинская улица	33к1
Ярославская область	Ярославль	Школьный проезд	7
Орловская область	деревня Жилина	улица Естина	9
Воронежская область	Воронеж	улица 9 Января	286А
Карагандинская область	Темиртау	70-й квартал	6
Западно-Казахстанская область	Уральск	микрорайон Кунаева	53
Ульяновская область	Димитровград		
Вологодская область	Вологда	улица Можайского	42
Нижегородская область	Нижний Новгород	проспект Ленина	48Г
Московская область	Люберцы	микрорайон Красная Горка, проспект Гагарина	27.июн.
Волгоградская область	Волгоград	Авиаторская улица	5
Московская область	Кашира	Садовая улица	16
Ульяновская область	Димитровград	Братская улица	53
Республика Татарстан	Казань		
Тверская область	Тверь	посёлок Сахарово, Школьная улица	3
Краснодарский край	Краснодар	улица Селезнёва	4Б
Вологодская область	Череповец	Советский проспект	108
Санкт-Петербург	Санкт-Петербург	улица Брянцева	17
Ярославская область	Ярославль	Брагинская улица	5
Саратовская область	Балашов	Фестивальная улица	10
Архангельская область	Архангельск	улица Логинова	7
Ростовская область	Ростов-на-Дону	микрорайон Западный, улица 339-й Стрелковой Дивизии	15
Смоленская область	Смоленск	проспект Гагарина	39А
Москва	Москва	улица Исаковского	8к1
Москва	Москва	Широкая улица	11
Республика Татарстан	Казань	улица Космонавтов	6А
Волгоградская область	Волжский	улица Мира	54
Москва	Москва	Луговой проезд	3
Московская область	Лобня	улица 9 квартал	5
Костромская область	Кострома	улица Юрия Смирнова	27
Ярославская область	Ярославль	проспект Дзержинского	8к3
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей	19к1
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Московский, улица им. Котлярова Н.С.	20
Москва	Москва	Свободный проспект	7к1
Смоленская область	Смоленск	проспект Гагарина	47
Краснодарский край	Сочи	микрорайон Донская, улица Чехова	50
Республика Татарстан	Казань	улица Олега Кошевого	2
Ульяновская область	Ульяновск	проспект Гая	21А
Саратовская область	Саратов	Артиллерийская улица	10
Московская область	Лобня	улица 9 квартал	5
Москва	Москва	набережная Новикова-Прибоя	8к2
Нижегородская область	Нижний Новгород	Московское шоссе	23
Ярославская область	Ярославль	Чернопрудная улица	12к3
Московская область	рабочий посёлок Монино	улица Генерала Дементьева	2
Вологодская область	Череповец	улица Партизана Окинина	16
Ярославская область	Ярославль	2-й Брагинский проезд	10
Тверская область	Тверь	посёлок Химинститута	12
Ярославская область	Ярославль	улица Академика Колмогорова	15к2
Москва	Москва	проспект Защитников Москвы	12
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект	33/3
Пермский край	Пермь	улица Мира	113
Ярославская область	Ярославль	улица Павлова	39к2
Московская область	Егорьевск	6-й микрорайон	12
Ростовская область	Ростов-на-Дону	проспект 40-летия Победы	37/2
Свердловская область	Екатеринбург	Кировский район, микрорайон Втузгородок, Ботаническая улица	19
Красноярский край	Красноярск	улица Энергетиков	44
Московская область	Балашиха	Пушкинская улица	7
Смоленская область	Смоленск	Пригородная улица	5
Архангельская область	Архангельск	улица Фёдора Абрамова	11
Самарская область	Самара	посёлок Мехзавод, 1-й квартал	42
Вологодская область	Череповец	улица Леднева	15
Москва	Москва	Волоколамское шоссе	16
Алматы	Алматы	микрорайон Орбита-3	33
Москва	Москва	4-я Новокузьминская улица	4
Костромская область	Кострома	проспект Мира	129
Ярославская область	Ярославль	проспект Дзержинского	5
Смоленская область	Смоленск	Краснинское шоссе	6
Краснодарский край	Краснодар	проезд Ватутина	4
Тульская область	Тула	улица Степанова	34
Тульская область	Алексин	улица 50 лет ВЛКСМ	12
Москва	Москва	улица Островитянова	5
Московская область	Балашиха		
Московская область	Королёв	микрорайон Болшево, улица Комитетский Лес	4
Московская область	Балашиха		
Ставропольский край	Изобильный	переулок Ленина	2 А
Ярославская область	Ярославль	улица Карла Либкнехта	16
Краснодарский край	Сочи	Альпийская улица	23
Санкт-Петербург	Кронштадт	Гражданская улица	21
Ивановская область	Шуя	Бульварный переулок	1
Москва	Москва	Батайский проезд	59
Ярославская область	Рыбинск	Западный планировочный район, микрорайон Веретье-2, улица Ворошилова	7
Ярославская область	Ярославль	улица Бабича	2
Московская область	Химки	улица Горшина	1
Краснодарский край	Сочи	микрорайон Больничный городок, улица Чебрикова	34
Тульская область	Новомосковск	Трудовой проезд	8А
Смоленская область	Смоленск	улица Шевченко	73А
Московская область	Реутов	улица Октября	44
Архангельская область	Архангельск	проспект Ломоносова	117
Вологодская область	Череповец	Боршодская улица	28
Калужская область	Калуга	улица Ленина	32
Москва	Москва	проспект Защитников Москвы	15
Московская область	Орехово-Зуево	проезд Беляцкого	7
Самарская область	Самара	Ташкентская улица	180
Москва	Москва	Большая Академическая улица	73к3
Краснодарский край	Краснодар	улица имени 40-летия Победы	146/6к2
Алматы	Алматы	микрорайон Коктем-2	4
Алматы	Алматы	микрорайон Коктем-2	4
Ярославская область	Ярославль	улица Зелинского	15к2
Краснодарский край	Краснодар	улица Карякина	18
Смоленская область	Смоленск	улица Гарабурды	21
Волгоградская область	Волгоград	Дзержинский район, район Семь Ветров, бульвар 30-летия Победы	
Воронежская область	село Новая Усмань	Полевая улица	49
Волгоградская область	Волгоград	Высокая улица	18А
Калужская область	посёлок Воротынск	улица 50 лет Победы	1
Астраханская область	Астрахань		
Тульская область	Новомосковск	улица Трудовые Резервы	78
Московская область	Лобня	улица Колычева	5
Ярославская область	Ярославль	улица Свердлова	33
Ульяновская область	Ульяновск	улица Карбышева	4
Сахалинская область	Южно-Сахалинск	улица Большая Полянка	3А
Краснодарский край	Краснодар	микрорайон Юбилейный, улица Бульварное Кольцо	18
Московская область	Реутов	улица Октября	44
Омская область	Омск	микрорайон Городок Нефтяников, улица Марка Никифорова	6
Ярославская область	Ярославль	Суздальская улица	89
Ярославская область	Ярославль	улица Труфанова	1
Республика Татарстан	Казань	улица Юлиуса Фучика	2Б
Саратовская область	Балашов	улица 167-й Стрелковой Дивизии	22А
Московская область	посёлок ВНИИССОК	Берёзовая улица	8
Саратовская область	Саратов		
Волгоградская область	Волгоград	Удмуртская улица	103
Тульская область	Новомосковск	улица Мира	54А
Москва	Москва	Перовская улица	4к1
Хабаровский край	Хабаровск	Пионерская улица	1/2Б
Красноярский край	Красноярск	улица Железнодорожников	24А
Саратовская область	Саратов	улица имени Е.И. Пугачёва	51А
Краснодарский край	Краснодар	улица Карякина	5к2
Московская область	Люберцы	улица Побратимов	11
Ростовская область	Батайск	улица Северная Звезда	2к2
Саратовская область	Саратов	Ипподромная улица	5
Свердловская область	Новоуральск	бульвар Академика Кикоина	12
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Новая Сортировка, Ольховская улица	27к2
Краснодарский край	Краснодар	улица имени 40-летия Победы	137
Алматы	Алматы	проспект Жибек Жолы	149
Алматы	Алматы	проспект Жибек Жолы	149
Волгоградская область	Волгоград	улица 51-й Гвардейской Дивизии	30Б
Брянская область	Брянск	Камвольный переулок	2А
Краснодарский край	Краснодар	Круговая улица	4Вк6
Москва	Москва	улица Генерала Кузнецова	28к1
Самарская область	Тольятти	Тополиная улица	4
Москва	Москва	Рублёвское шоссе	28к1
Москва	Москва	Наримановская улица	8
Ярославская область	Ярославль	проспект Машиностроителей	15к2
Москва	Москва	улица Лавочкина	16к1
Санкт-Петербург	Санкт-Петербург	улица Демьяна Бедного	4к1
Саратовская область	Энгельс	улица Тельмана	150/9
Воронежская область	Воронеж	улица Шишкова	4А
Санкт-Петербург	Санкт-Петербург	аллея Поликарпова	1
Тульская область	Тула	улица Хворостухина	11А
Краснодарский край	Сочи	микрорайон Заречный, Цветной бульвар	13
Саратовская область	Саратов	2-й Кавказский тупик	5
Московская область	Балашиха	Мирской проезд	16
Московская область	Ступино	улица Тургенева	15/24
Краснодарский край	посёлок Российский	улица имени В.М. Комарова	30
Свердловская область	Екатеринбург	улица Машинистов	3
Вологодская область	Череповец	улица Раахе	66А
Павлодарская область	Павлодар	улица Толстого	106
Санкт-Петербург	Санкт-Петербург	Ключевая улица	7
Тульская область	Тула	улица Вересаева	1Б
Краснодарский край	Краснодар	улица имени В.Н. Мачуги	6
Орловская область	Мценск	микрорайон Коммаш	8
Тульская область	Тула	улица Кутузова	106А
Ярославская область	Ярославль	улица Труфанова	13к2
Брянская область	Брянск	Киевская улица	44А
Ярославская область	Ярославль	улица Александра Невского	5к3
Тульская область	Тула	1-й проезд Металлургов	1
Саратовская область	Энгельс	Полтавская улица	25
Смоленская область	Смоленск	улица Академика Петрова	16
Санкт-Петербург	Санкт-Петербург	улица Партизана Германа	35к1
Краснодарский край	Краснодар	Московская улица	144/2
Ярославская область	Ярославль	переулок Герцена	6
Тульская область	Тула	улица Кутузова	84
Московская область	Реутов	Юбилейный проспект	67
Хабаровский край	Хабаровск	улица Серышева	74
Ярославская область	Ярославль	2-й Брагинский проезд	10
Ульяновская область	Ульяновск	улица Аблукова	67
Алматы	Алматы	Алатауский район	
Москва	Москва	9-я улица Соколиной Горы	3
Архангельская область	Новодвинск	Двинская улица	41
Свердловская область	Екатеринбург	Машинная улица	44к1
Свердловская область	Екатеринбург	Рощинская улица	29
Пермский край	Пермь	улица Емельяна Ярославского	10.мар.
Омская область	Омск	Иртышская набережная	45
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Новая Сортировка, улица Пехотинцев	18
Омская область	Омск	микрорайон Заозёрный, улица Тимофея Белозёрова	11
Орловская область	Орёл	Ливенская улица	30Б
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Яна Полуяна	43
Московская область	Химки	Зелёная улица	7
Калининградская область	Калининград	Казанская улица	12
Москва	Москва	Богословский переулок	5
Костромская область	Кострома	улица Шагова	203
Республика Татарстан	Казань	Товарищеская улица	30
Самарская область	Тольятти	улица Дзержинского	71
Вологодская область	Череповец	Клубный проезд	13
Москва	Москва	15-я Парковая улица	46к6
Санкт-Петербург	Санкт-Петербург	улица Матроса Железняка	21
Саратовская область	Саратов	улица имени Сергея Фёдоровича Тархова	21
Нижегородская область	Нижний Новгород	улица Ватутина	13
Москва	Москва	Байкальская улица	18к4
Москва	Москва	Булатниковский проезд	16Б
Омская область	Омск	улица Степанца	2
Ленинградская область	Мурино	Воронцовский бульвар	6
Ставропольский край	Михайловск	улица Ленина	213
Воронежская область	Воронеж	улица Торпедо	24
Тульская область	Новомосковск	Комсомольская улица	27
Санкт-Петербург	Санкт-Петербург	Наличная улица	29
Ярославская область	Ярославль	жилой район Липовая Гора, улица Пирогова	20А
Москва	Москва	Елецкая улица	33
Ростовская область	Ростов-на-Дону	улица Висаитова	05.ноя
Ярославская область	Ярославль	проспект Машиностроителей	54к2
Московская область	Балашиха	микрорайон Кучино, улица Чаплыгина	1
Вологодская область	Череповец	проспект Победы	210
Московская область	Долгопрудный	Молодёжная улица	14к1
Свердловская область	Екатеринбург	улица Мичурина	235
Московская область	Воскресенск	микрорайон Лопатинский, улица Маркина	28
Москва	Москва	Новгородская улица	14к2
Саратовская область	Саратов	Селекционный проезд	6А
Москва	Москва	1-я улица Текстильщиков	12.сен
Московская область	Красногорск	улица Карбышева	35/69
Москва	Москва	улица Перерва	26к2
Ростовская область	Волгодонск	улица Максима Горького	147
Красноярский край	Красноярск	переулок Маяковского	18
Санкт-Петербург	Санкт-Петербург	Караваевская улица	27к2
Ростовская область	Батайск	улица Энгельса	211
Ярославская область	Ярославль	улица Щапова	12
Ульяновская область	Ульяновск	улица Полбина	30
Воронежская область	Воронеж	улица Берёзовая Роща	30
Краснодарский край	Сочи	микрорайон Завокзальный, Параллельная улица	9лит5
Ульяновская область	Ульяновск	Западный бульвар	19
Краснодарский край	Сочи	микрорайон Донская, Строительный переулок	8
Ростовская область	Ростов-на-Дону	улица Ерёменко	66/9
Пермский край	Пермь	Запорожская улица	15
Вологодская область	Череповец	Шекснинский проспект	16
Республика Татарстан	Иннополис	Спортивная улица	132
Ленинградская область	Мурино	Привокзальная площадь	1Ак2
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Евгении Жигуленко	3
Московская область	Сергиев Посад	микрорайон Семхоз, Зелёный переулок	21
Волгоградская область	Волгоград	Колосовая улица	10
Нижегородская область	Бор	3-й микрорайон	2
Московская область	Лобня	улица Маяковского	6
Архангельская область	Архангельск	улица Прокопия Галушина	30
Московская область	Люберцы	Шоссейная улица	8
Иркутская область	Иркутск	улица Лермонтова	279/2
Волгоградская область	Волгоград	проспект Героев Сталинграда	50
Москва	Москва	Игральная улица	5
Москва	Москва	улица Молдагуловой	6
Алматы	Алматы	микрорайон Орбита-4	11
Ярославская область	Ярославль	улица Космонавтов	12
Краснодарский край	Краснодар	улица имени 40-летия Победы	33/5
Свердловская область	Екатеринбург	микрорайон Юго-Западный, улица Академика Бардина	32к2
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица	107/11
Калужская область	Калуга	улица Фридриха Энгельса	66
Москва	Москва	улица Молдагуловой	18к2
Санкт-Петербург	Санкт-Петербург	Среднеохтинский проспект	8
Краснодарский край	Краснодар	улица Красных Партизан	1/4к10
Москва	Москва	Дорожная улица	28к2
Москва	Москва	Севанская улица	9к2
Московская область	Красногорск	улица Братьев Горожанкиных	15
Костромская область	Кострома	улица Шагова	203
Тверская область	Тверь	Артиллерийский переулок	7
Республика Татарстан	Казань	улица Фатыха Амирхана	53
Калужская область	Калуга	улица Фомушина	6
Вологодская область	Череповец	улица Космонавта Беляева	9
Воронежская область	Воронеж	улица Переверткина	23
Ивановская область	Иваново	Кузнечная улица	38
Краснодарский край	Краснодар	Уральская улица	166/2
Свердловская область	Екатеринбург	микрорайон ЖБИ, улица 40-летия Комсомола	24
Нижегородская область	Нижний Новгород	Автозаводский район, микрорайон Северный, улица Пермякова	4
Иркутская область	Иркутск	Севастопольская улица	243А
Калужская область	Калуга	Тарутинская улица	231к5
Ярославская область	Ярославль	улица Нефтяников	12
Волгоградская область	Волгоград	улица Тимирязева	37
Смоленская область	Смоленск	улица Толмачёва	7
Ярославская область	Ярославль	улица Богдановича	6
Калужская область	Калуга	Малоярославецкая улица	10
Калужская область	Калуга	Пригородная улица	11
Москва	Москва	Новогиреевская улица	44/28
Саратовская область	Саратов	улица имени А.В. Суворова	13А
Москва	Москва	Алтуфьевское шоссе	11
Тверская область	Тверь	посёлок Сахарово, Садовая улица	13
Московская область	Котельники	2-й Покровский проезд	12
Ярославская область	Ярославль	улица Ньютона	46/29
Саратовская область	Балаково	проспект Героев	27
Волгоградская область	Волгоград	улица 95-й Гвардейской Дивизии	9
Астраханская область	Астрахань	Жилая улица	5
Москва	Москва	Малая Ботаническая улица	21
Алматы	Алматы	улица Розыбакиева	153А
Алматы	Алматы	улица Розыбакиева	153А
Ярославская область	Ярославль	Которосльная набережная	30
Ярославская область	Ярославль	улица Зелинского	3А
Московская область	Электросталь	улица Жулябина	20
Воронежская область	Воронеж	улица Космонавта Комарова	10
Тверская область	Тверь	улица Зинаиды Коноплянниковой	20
Краснодарский край	Сочи	микрорайон Заречный, Цветной бульвар	28
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Добровольского	34
Красноярский край	Красноярск	проспект имени Газеты Красноярский Рабочий	97
Московская область	рабочий посёлок Октябрьский	улица 60 лет Победы	6
Москва	Москва	улица Главмосстроя	22к1
Москва	Москва	Чертановская улица	64к3
Ярославская область	Ярославль	улица Чкалова	80
Санкт-Петербург	Санкт-Петербург	улица Добровольцев	48
Волгоградская область	Волгоград	улица Глазкова	5
Самарская область	Тольятти	Комсомольский район, микрорайон Шлюзовой, Гидротехническая улица	27
Красноярский край	Красноярск	Советский район, микрорайон Северный, улица Урванцева	16
Республика Татарстан	Казань	улица Челюскина	40/15
Смоленская область	Смоленск	улица Тенишевой	31
Орловская область	Орёл	улица Картукова	11
Санкт-Петербург	Санкт-Петербург	набережная реки Фонтанки	77
Саратовская область	Саратов	улица имени А.Н. Радищева	04.июн.
Нижегородская область	Нижний Новгород	улица Минеева	31
Москва	Москва	Самаркандский бульвар	32к1
Московская область	Голицыно	Промышленный проезд	2к1
Пермский край	Пермь	Хрустальная улица	30
Москва	Москва	Федеративный проспект	37
Московская область	Люберцы	улица Попова	22
Москва	Москва	Высокая улица	12
Москва	Москва	3-й Лихачёвский переулок	7к3
Костромская область	Кострома	микрорайон Малышково, улица Суслова	5
Смоленская область	Смоленск	улица Валентины Гризодубовой	1В
Приморский край	Владивосток	Окатовая улица	14
Саратовская область	Саратов	проспект имени 50 лет Октября	83
Краснодарский край	Сочи	микрорайон Больничный городок, улица Чебрикова	36
Ивановская область	Иваново	улица Громобоя	27
Москва	Москва	Ленинский проспект	82/2
Москва	Москва	Чертановская улица	64к3
Воронежская область	Воронеж	улица Ломоносова	114/8
Москва	Москва	Химкинский бульвар	4
Ульяновская область	Ульяновск	2-й переулок Мира	26
Калужская область	Калуга	улица Ленина	31
Москва	Москва	улица Маршала Ерёменко	5к5
Москва	Москва	Юго-Восточный административный округ	
Калужская область	Калуга	улица Кутузова	31к1
Ростовская область	Ростов-на-Дону	улица Тружеников	6
Москва	Москва	Лухмановская улица	30
Санкт-Петербург	Санкт-Петербург	улица Маршала Казакова	78к1
Москва	Москва	улица Винокурова	7/5к3
Калужская область	Калуга	Ольговский переулок	11
Ярославская область	Ярославль	жилой район Липовая Гора, Малая Техническая улица	8
Санкт-Петербург	Санкт-Петербург	проспект Энергетиков	28к4
Ярославская область	Ярославль	проспект Фрунзе	37/18
Брянская область	Брянск	Московский проспект	19
Свердловская область	Екатеринбург	Чкаловский район, микрорайон Вторчермет, Коллективный переулок	19
Ярославская область	Ярославль	жилой район Липовая Гора, улица Пирогова	31
Ярославская область	Ярославль	Суздальская улица	192
Саратовская область	Саратов	улица имени Б.Н. Ерёмина	1
Ярославская область	Ярославль	Ярославская улица	153к2
Ярославская область	Ярославль	улица Чкалова	15/23
Калужская область	посёлок Воротынск	Берёзовая улица	8
Краснодарский край	Краснодар	микрорайон Завод Измерительных Приборов, улица Курчатова	10
Воронежская область	Воронеж	Минская улица	1
Ростовская область	Ростов-на-Дону	улица Висаитова	06.окт.
Калужская область	Калуга	улица Маршала Жукова	52
Ярославская область	Ярославль	проспект Толбухина	31
Московская область	Пушкино	улица Чехова	33/9
Тюменская область	Тюмень	улица Пермякова	35
Московская область	Люберцы	улица Гоголя	6
Орловская область	Орёл	Раздольная улица	43
Ростовская область	Ростов-на-Дону	Стабильная улица	21
Самарская область	Самара	Кузнецкая улица	36
Краснодарский край	Краснодар	Душистая улица	50
Смоленская область	Смоленск	улица Шевченко	73Г
Краснодарский край	Краснодар	микрорайон Сельскохозяйственный Институт, Харьковская улица	83/6
Красноярский край	Красноярск	улица Чернышевского	73
Ярославская область	Ярославль	Тутаевское шоссе	51
Хабаровский край	Хабаровск	улица Гайдара	13
Московская область	Королёв	микрорайон Юбилейный, Комитетская улица	7А
Свердловская область	Берёзовский	улица Гагарина	21
Ивановская область	деревня Дерябиха		54
Самарская область	Самара	улица Силина	11
Ульяновская область	Ульяновск	Московское шоссе	81
Краснодарский край	Краснодар	Сормовская улица	197/1
