Область (Яндекс)	Город (Яндекс)	Улица (Яндекс)
Калининградская область	Калининград	Батальная улица
Калужская область	Калуга	улица Суворова
Красноярский край	Красноярск	Октябрьский район, улица Академгородок
Краснодарский край	Краснодар	улица Героев-Разведчиков
Брянская область	Брянск	улица Богдана Хмельницкого
Калужская область	Калуга	Малоярославецкая улица
Московская область	Одинцово	микрорайон Новая Трёхгорка, Кутузовская улица
Санкт-Петербург	Кронштадт	Советская улица
Красноярский край	Красноярск	Советский район, микрорайон Зелёная Роща, улица Тельмана
Курская область	Курчатов	улица Строителей
Московская область	Люберцы	улица Кирова
Москва	Москва	проспект Мира
Тульская область	Тула	улица Максима Горького
Омская область	Омск	Волгоградская улица
Санкт-Петербург	Сестрорецк	Приморское шоссе
Москва	Москва	Кусковская улица
Московская область	Котельники	микрорайон Южный
Москва	Москва	Заводской проезд
Московская область	Наро-Фоминск	улица Пешехонова
Костанайская область	Костанай	улица Карбышева
Краснодарский край	Краснодар	Совхозная улица
Санкт-Петербург	Санкт-Петербург	Лермонтовский проспект
Санкт-Петербург	Санкт-Петербург	улица Рубинштейна
Омская область	Омск	посёлок Чкаловский, улица Петра Осминина
Москва	Москва	улица Каховка
Краснодарский край	Краснодар	улица Стасова
Восточно-Казахстанская область	Усть-Каменогорск	улица Шелехова
Московская область	Химки	улица Энгельса
Республика Татарстан	Иннополис	Спортивная улица
Ростовская область	Ростов-на-Дону	Рабочая площадь
Самарская область	Тольятти	1-й квартал, бульвар Баумана
Ярославская область	Ярославль	улица Добрынина
Курская область	Железногорск	улица Гагарина
Московская область	Балашиха	улица Твардовского
Ярославская область	Ярославль	улица Саукова
Смоленская область	Смоленск	проезд Соловьиная Роща
Самарская область	Тольятти	улица Дзержинского
Воронежская область	Воронеж	улица Артамонова
Пермский край	Пермь	Парковый проспект
Алматы	Алматы	6-й микрорайон
Московская область	Люберцы	Шоссейная улица
Калужская область	Калуга	улица Калинина
Ярославская область	Ярославль	жилой район Липовая Гора, Индустриальный переулок
Ярославская область	Ярославль	Московский проспект
Волгоградская область	Волгоград	улица Малиновского
Краснодарский край	Краснодар	Гаражная улица
Московская область	Химки	микрорайон Левобережный, Совхозная улица
Москва	Москва	улица Ухтомского Ополчения
Ростовская область	Ростов-на-Дону	микрорайон Северный, Орбитальная улица
Московская область	Химки	улица Лавочкина
Калужская область	Калуга	улица Чехова
Ярославская область	Ярославль	Московский проспект
Московская область	Орехово-Зуево	улица Урицкого
Волгоградская область	Волгоград	проспект имени В.И. Ленина
Астраханская область	Астрахань	улица Генерала Герасименко
Московская область	Реутов	улица Ленина
Санкт-Петербург	Санкт-Петербург	Лесной проспект
Самарская область	Тольятти	бульвар 50 лет Октября
Самарская область	Тольятти	улица Жилина
Орловская область	Мценск	1-й микрорайон
Ивановская область	Иваново	улица Маршала Василевского
Архангельская область	Новодвинск	улица Космонавтов
Кемеровская область	Кемерово	Волгоградская улица
Краснодарский край	посёлок Российский	Альпийская улица
Нижегородская область	Дзержинск	улица Терешковой
Тульская область	Узловая	квартал 50 лет Октября
Москва	Москва	улица Маршала Голованова
Смоленская область	Смоленск	2-й Рославльский переулок
Москва	Москва	3-я Филёвская улица
Московская область	Чехов	улица Маркова
Ярославская область	Ярославль	Мануфактурная улица
Тульская область	Тула	улица Мира
Москва	Москва	Светлый проезд
Костромская область	Волгореченск	Юбилейная улица
Ярославская область	Ярославль	улица Некрасова
Ярославская область	Ярославль	улица 8 Марта
Ярославская область	Ярославль	улица Громова
Ставропольский край	Ставрополь	улица Пирогова
Калининградская область	Калининград	Южный бульвар
Саратовская область	Саратов	Рабочая улица
Нижегородская область	Нижний Новгород	Канавинский район, жилой район Мещерское Озеро, Мещерский бульвар
Республика Татарстан	Казань	Парковая улица
Ростовская область	Ростов-на-Дону	проспект Ленина
Санкт-Петербург	посёлок Металлострой	Садовая улица
Краснодарский край	Краснодар	улица им. Героя Яцкова И.В.
Московская область	рабочий посёлок Октябрьский	Первомайская улица
Москва	Москва	проезд Серебрякова
Костромская область	Кострома	Индустриальная улица
Московская область	Химки	улица Панфилова
Москва	Москва	Новощукинская улица
Саратовская область	Саратов	улица Лебедева-Кумача
Краснодарский край	Краснодар	Уральская улица
Москва	Москва	Митинская улица
Ярославская область	Ярославль	Школьный проезд
Орловская область	деревня Жилина	улица Естина
Воронежская область	Воронеж	улица 9 Января
Карагандинская область	Темиртау	70-й квартал
Западно-Казахстанская область	Уральск	микрорайон Кунаева
Ульяновская область	Димитровград	
Вологодская область	Вологда	улица Можайского
Нижегородская область	Нижний Новгород	проспект Ленина
Московская область	Люберцы	микрорайон Красная Горка, проспект Гагарина
Волгоградская область	Волгоград	Авиаторская улица
Московская область	Кашира	Садовая улица
Ульяновская область	Димитровград	Братская улица
Республика Татарстан	Казань	
Тверская область	Тверь	посёлок Сахарово, Школьная улица
Краснодарский край	Краснодар	улица Селезнёва
Вологодская область	Череповец	Советский проспект
Санкт-Петербург	Санкт-Петербург	улица Брянцева
Ярославская область	Ярославль	Брагинская улица
Саратовская область	Балашов	Фестивальная улица
Архангельская область	Архангельск	улица Логинова
Ростовская область	Ростов-на-Дону	микрорайон Западный, улица 339-й Стрелковой Дивизии
Смоленская область	Смоленск	проспект Гагарина
Москва	Москва	улица Исаковского
Москва	Москва	Широкая улица
Республика Татарстан	Казань	улица Космонавтов
Волгоградская область	Волжский	улица Мира
Москва	Москва	Луговой проезд
Московская область	Лобня	улица 9 квартал
Костромская область	Кострома	улица Юрия Смирнова
Ярославская область	Ярославль	проспект Дзержинского
Санкт-Петербург	Санкт-Петербург	улица Кораблестроителей
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Московский, улица им. Котлярова Н.С.
Москва	Москва	Свободный проспект
Смоленская область	Смоленск	проспект Гагарина
Краснодарский край	Сочи	микрорайон Донская, улица Чехова
Республика Татарстан	Казань	улица Олега Кошевого
Ульяновская область	Ульяновск	проспект Гая
Саратовская область	Саратов	Артиллерийская улица
Московская область	Лобня	улица 9 квартал
Москва	Москва	набережная Новикова-Прибоя
Нижегородская область	Нижний Новгород	Московское шоссе
Ярославская область	Ярославль	Чернопрудная улица
Московская область	рабочий посёлок Монино	улица Генерала Дементьева
Вологодская область	Череповец	улица Партизана Окинина
Ярославская область	Ярославль	2-й Брагинский проезд
Тверская область	Тверь	посёлок Химинститута
Ярославская область	Ярославль	улица Академика Колмогорова
Москва	Москва	проспект Защитников Москвы
Ростовская область	Ростов-на-Дону	микрорайон Западный, Коммунистический проспект
Пермский край	Пермь	улица Мира
Ярославская область	Ярославль	улица Павлова
Московская область	Егорьевск	6-й микрорайон
Ростовская область	Ростов-на-Дону	проспект 40-летия Победы
Свердловская область	Екатеринбург	Кировский район, микрорайон Втузгородок, Ботаническая улица
Красноярский край	Красноярск	улица Энергетиков
Московская область	Балашиха	Пушкинская улица
Смоленская область	Смоленск	Пригородная улица
Архангельская область	Архангельск	улица Фёдора Абрамова
Самарская область	Самара	посёлок Мехзавод, 1-й квартал
Вологодская область	Череповец	улица Леднева
Москва	Москва	Волоколамское шоссе
Алматы	Алматы	микрорайон Орбита-3
Москва	Москва	4-я Новокузьминская улица
Костромская область	Кострома	проспект Мира
Ярославская область	Ярославль	проспект Дзержинского
Смоленская область	Смоленск	Краснинское шоссе
Краснодарский край	Краснодар	проезд Ватутина
Тульская область	Тула	улица Степанова
Тульская область	Алексин	улица 50 лет ВЛКСМ
Москва	Москва	улица Островитянова
Московская область	Балашиха	
Московская область	Королёв	микрорайон Болшево, улица Комитетский Лес
Московская область	Балашиха	
Ставропольский край	Изобильный	переулок Ленина
Ярославская область	Ярославль	улица Карла Либкнехта
Краснодарский край	Сочи	Альпийская улица
Санкт-Петербург	Кронштадт	Гражданская улица
Ивановская область	Шуя	Бульварный переулок
Москва	Москва	Батайский проезд
Ярославская область	Рыбинск	Западный планировочный район, микрорайон Веретье-2, улица Ворошилова
Ярославская область	Ярославль	улица Бабича
Московская область	Химки	улица Горшина
Краснодарский край	Сочи	микрорайон Больничный городок, улица Чебрикова
Тульская область	Новомосковск	Трудовой проезд
Смоленская область	Смоленск	улица Шевченко
Московская область	Реутов	улица Октября
Архангельская область	Архангельск	проспект Ломоносова
Вологодская область	Череповец	Боршодская улица
Калужская область	Калуга	улица Ленина
Москва	Москва	проспект Защитников Москвы
Московская область	Орехово-Зуево	проезд Беляцкого
Самарская область	Самара	Ташкентская улица
Москва	Москва	Большая Академическая улица
Краснодарский край	Краснодар	улица имени 40-летия Победы
Алматы	Алматы	микрорайон Коктем-2
Алматы	Алматы	микрорайон Коктем-2
Ярославская область	Ярославль	улица Зелинского
Краснодарский край	Краснодар	улица Карякина
Смоленская область	Смоленск	улица Гарабурды
Волгоградская область	Волгоград	Дзержинский район, район Семь Ветров, бульвар 30-летия Победы
Воронежская область	село Новая Усмань	Полевая улица
Волгоградская область	Волгоград	Высокая улица
Калужская область	посёлок Воротынск	улица 50 лет Победы
Астраханская область	Астрахань	
Тульская область	Новомосковск	улица Трудовые Резервы
Московская область	Лобня	улица Колычева
Ярославская область	Ярославль	улица Свердлова
Ульяновская область	Ульяновск	улица Карбышева
Сахалинская область	Южно-Сахалинск	улица Большая Полянка
Краснодарский край	Краснодар	микрорайон Юбилейный, улица Бульварное Кольцо
Московская область	Реутов	улица Октября
Омская область	Омск	микрорайон Городок Нефтяников, улица Марка Никифорова
Ярославская область	Ярославль	Суздальская улица
Ярославская область	Ярославль	улица Труфанова
Республика Татарстан	Казань	улица Юлиуса Фучика
Саратовская область	Балашов	улица 167-й Стрелковой Дивизии
Московская область	посёлок ВНИИССОК	Берёзовая улица
Саратовская область	Саратов	
Волгоградская область	Волгоград	Удмуртская улица
Тульская область	Новомосковск	улица Мира
Москва	Москва	Перовская улица
Хабаровский край	Хабаровск	Пионерская улица
Красноярский край	Красноярск	улица Железнодорожников
Саратовская область	Саратов	улица имени Е.И. Пугачёва
Краснодарский край	Краснодар	улица Карякина
Московская область	Люберцы	улица Побратимов
Ростовская область	Батайск	улица Северная Звезда
Саратовская область	Саратов	Ипподромная улица
Свердловская область	Новоуральск	бульвар Академика Кикоина
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Новая Сортировка, Ольховская улица
Краснодарский край	Краснодар	улица имени 40-летия Победы
Алматы	Алматы	проспект Жибек Жолы
Алматы	Алматы	проспект Жибек Жолы
Волгоградская область	Волгоград	улица 51-й Гвардейской Дивизии
Брянская область	Брянск	Камвольный переулок
Краснодарский край	Краснодар	Круговая улица
Москва	Москва	улица Генерала Кузнецова
Самарская область	Тольятти	Тополиная улица
Москва	Москва	Рублёвское шоссе
Москва	Москва	Наримановская улица
Ярославская область	Ярославль	проспект Машиностроителей
Москва	Москва	улица Лавочкина
Санкт-Петербург	Санкт-Петербург	улица Демьяна Бедного
Саратовская область	Энгельс	улица Тельмана
Воронежская область	Воронеж	улица Шишкова
Санкт-Петербург	Санкт-Петербург	аллея Поликарпова
Тульская область	Тула	улица Хворостухина
Краснодарский край	Сочи	микрорайон Заречный, Цветной бульвар
Саратовская область	Саратов	2-й Кавказский тупик
Московская область	Балашиха	Мирской проезд
Московская область	Ступино	улица Тургенева
Краснодарский край	посёлок Российский	улица имени В.М. Комарова
Свердловская область	Екатеринбург	улица Машинистов
Вологодская область	Череповец	улица Раахе
Павлодарская область	Павлодар	улица Толстого
Санкт-Петербург	Санкт-Петербург	Ключевая улица
Тульская область	Тула	улица Вересаева
Краснодарский край	Краснодар	улица имени В.Н. Мачуги
Орловская область	Мценск	микрорайон Коммаш
Тульская область	Тула	улица Кутузова
Ярославская область	Ярославль	улица Труфанова
Брянская область	Брянск	Киевская улица
Ярославская область	Ярославль	улица Александра Невского
Тульская область	Тула	1-й проезд Металлургов
Саратовская область	Энгельс	Полтавская улица
Смоленская область	Смоленск	улица Академика Петрова
Санкт-Петербург	Санкт-Петербург	улица Партизана Германа
Краснодарский край	Краснодар	Московская улица
Ярославская область	Ярославль	переулок Герцена
Тульская область	Тула	улица Кутузова
Московская область	Реутов	Юбилейный проспект
Хабаровский край	Хабаровск	улица Серышева
Ярославская область	Ярославль	2-й Брагинский проезд
Ульяновская область	Ульяновск	улица Аблукова
Алматы	Алматы	Алатауский район
Москва	Москва	9-я улица Соколиной Горы
Архангельская область	Новодвинск	Двинская улица
Свердловская область	Екатеринбург	Машинная улица
Свердловская область	Екатеринбург	Рощинская улица
Пермский край	Пермь	улица Емельяна Ярославского
Омская область	Омск	Иртышская набережная
Свердловская область	Екатеринбург	Железнодорожный район, микрорайон Новая Сортировка, улица Пехотинцев
Омская область	Омск	микрорайон Заозёрный, улица Тимофея Белозёрова
Орловская область	Орёл	Ливенская улица
Краснодарский край	Краснодар	Фестивальный микрорайон, улица Яна Полуяна
Московская область	Химки	Зелёная улица
Калининградская область	Калининград	Казанская улица
Москва	Москва	Богословский переулок
Костромская область	Кострома	улица Шагова
Республика Татарстан	Казань	Товарищеская улица
Самарская область	Тольятти	улица Дзержинского
Вологодская область	Череповец	Клубный проезд
Москва	Москва	15-я Парковая улица
Санкт-Петербург	Санкт-Петербург	улица Матроса Железняка
Саратовская область	Саратов	улица имени Сергея Фёдоровича Тархова
Нижегородская область	Нижний Новгород	улица Ватутина
Москва	Москва	Байкальская улица
Москва	Москва	Булатниковский проезд
Омская область	Омск	улица Степанца
Ленинградская область	Мурино	Воронцовский бульвар
Ставропольский край	Михайловск	улица Ленина
Воронежская область	Воронеж	улица Торпедо
Тульская область	Новомосковск	Комсомольская улица
Санкт-Петербург	Санкт-Петербург	Наличная улица
Ярославская область	Ярославль	жилой район Липовая Гора, улица Пирогова
Москва	Москва	Елецкая улица
Ростовская область	Ростов-на-Дону	улица Висаитова
Ярославская область	Ярославль	проспект Машиностроителей
Московская область	Балашиха	микрорайон Кучино, улица Чаплыгина
Вологодская область	Череповец	проспект Победы
Московская область	Долгопрудный	Молодёжная улица
Свердловская область	Екатеринбург	улица Мичурина
Московская область	Воскресенск	микрорайон Лопатинский, улица Маркина
Москва	Москва	Новгородская улица
Саратовская область	Саратов	Селекционный проезд
Москва	Москва	1-я улица Текстильщиков
Московская область	Красногорск	улица Карбышева
Москва	Москва	улица Перерва
Ростовская область	Волгодонск	улица Максима Горького
Красноярский край	Красноярск	переулок Маяковского
Санкт-Петербург	Санкт-Петербург	Караваевская улица
Ростовская область	Батайск	улица Энгельса
Ярославская область	Ярославль	улица Щапова
Ульяновская область	Ульяновск	улица Полбина
Воронежская область	Воронеж	улица Берёзовая Роща
Краснодарский край	Сочи	микрорайон Завокзальный, Параллельная улица
Ульяновская область	Ульяновск	Западный бульвар
Краснодарский край	Сочи	микрорайон Донская, Строительный переулок
Ростовская область	Ростов-на-Дону	улица Ерёменко
Пермский край	Пермь	Запорожская улица
Вологодская область	Череповец	Шекснинский проспект
Республика Татарстан	Иннополис	Спортивная улица
Ленинградская область	Мурино	Привокзальная площадь
Краснодарский край	Краснодар	Прикубанский внутригородской округ, микрорайон Ростовское Шоссе, улица Евгении Жигуленко
Московская область	Сергиев Посад	микрорайон Семхоз, Зелёный переулок
Волгоградская область	Волгоград	Колосовая улица
Нижегородская область	Бор	3-й микрорайон
Московская область	Лобня	улица Маяковского
Архангельская область	Архангельск	улица Прокопия Галушина
Московская область	Люберцы	Шоссейная улица
Иркутская область	Иркутск	улица Лермонтова
Волгоградская область	Волгоград	проспект Героев Сталинграда
Москва	Москва	Игральная улица
Москва	Москва	улица Молдагуловой
Алматы	Алматы	микрорайон Орбита-4
Ярославская область	Ярославль	улица Космонавтов
Краснодарский край	Краснодар	улица имени 40-летия Победы
Свердловская область	Екатеринбург	микрорайон Юго-Западный, улица Академика Бардина
Краснодарский край	Краснодар	Центральный округ, микрорайон Черёмушки, Ставропольская улица
Калужская область	Калуга	улица Фридриха Энгельса
Москва	Москва	улица Молдагуловой
Санкт-Петербург	Санкт-Петербург	Среднеохтинский проспект
Краснодарский край	Краснодар	улица Красных Партизан
Москва	Москва	Дорожная улица
Москва	Москва	Севанская улица
Московская область	Красногорск	улица Братьев Горожанкиных
Костромская область	Кострома	улица Шагова
Тверская область	Тверь	Артиллерийский переулок
Республика Татарстан	Казань	улица Фатыха Амирхана
Калужская область	Калуга	улица Фомушина
Вологодская область	Череповец	улица Космонавта Беляева
Воронежская область	Воронеж	улица Переверткина
Ивановская область	Иваново	Кузнечная улица
Краснодарский край	Краснодар	Уральская улица
Свердловская область	Екатеринбург	микрорайон ЖБИ, улица 40-летия Комсомола
Нижегородская область	Нижний Новгород	Автозаводский район, микрорайон Северный, улица Пермякова
Иркутская область	Иркутск	Севастопольская улица
Калужская область	Калуга	Тарутинская улица
Ярославская область	Ярославль	улица Нефтяников
Волгоградская область	Волгоград	улица Тимирязева
Смоленская область	Смоленск	улица Толмачёва
Ярославская область	Ярославль	улица Богдановича
Калужская область	Калуга	Малоярославецкая улица
Калужская область	Калуга	Пригородная улица
Москва	Москва	Новогиреевская улица
Саратовская область	Саратов	улица имени А.В. Суворова
Москва	Москва	Алтуфьевское шоссе
Тверская область	Тверь	посёлок Сахарово, Садовая улица
Московская область	Котельники	2-й Покровский проезд
Ярославская область	Ярославль	улица Ньютона
Саратовская область	Балаково	проспект Героев
Волгоградская область	Волгоград	улица 95-й Гвардейской Дивизии
Астраханская область	Астрахань	Жилая улица
Москва	Москва	Малая Ботаническая улица
Алматы	Алматы	улица Розыбакиева
Алматы	Алматы	улица Розыбакиева
Ярославская область	Ярославль	Которосльная набережная
Ярославская область	Ярославль	улица Зелинского
Московская область	Электросталь	улица Жулябина
Воронежская область	Воронеж	улица Космонавта Комарова
Тверская область	Тверь	улица Зинаиды Коноплянниковой
Краснодарский край	Сочи	микрорайон Заречный, Цветной бульвар
Ростовская область	Ростов-на-Дону	микрорайон Северный, улица Добровольского
Красноярский край	Красноярск	проспект имени Газеты Красноярский Рабочий
Московская область	рабочий посёлок Октябрьский	улица 60 лет Победы
Москва	Москва	улица Главмосстроя
Москва	Москва	Чертановская улица
Ярославская область	Ярославль	улица Чкалова
Санкт-Петербург	Санкт-Петербург	улица Добровольцев
Волгоградская область	Волгоград	улица Глазкова
Самарская область	Тольятти	Комсомольский район, микрорайон Шлюзовой, Гидротехническая улица
Красноярский край	Красноярск	Советский район, микрорайон Северный, улица Урванцева
Республика Татарстан	Казань	улица Челюскина
Смоленская область	Смоленск	улица Тенишевой
Орловская область	Орёл	улица Картукова
Санкт-Петербург	Санкт-Петербург	набережная реки Фонтанки
Саратовская область	Саратов	улица имени А.Н. Радищева
Нижегородская область	Нижний Новгород	улица Минеева
Москва	Москва	Самаркандский бульвар
Московская область	Голицыно	Промышленный проезд
Пермский край	Пермь	Хрустальная улица
Москва	Москва	Федеративный проспект
Московская область	Люберцы	улица Попова
Москва	Москва	Высокая улица
Москва	Москва	3-й Лихачёвский переулок
Костромская область	Кострома	микрорайон Малышково, улица Суслова
Смоленская область	Смоленск	улица Валентины Гризодубовой
Приморский край	Владивосток	Окатовая улица
Саратовская область	Саратов	проспект имени 50 лет Октября
Краснодарский край	Сочи	микрорайон Больничный городок, улица Чебрикова
Ивановская область	Иваново	улица Громобоя
Москва	Москва	Ленинский проспект
Москва	Москва	Чертановская улица
Воронежская область	Воронеж	улица Ломоносова
Москва	Москва	Химкинский бульвар
Ульяновская область	Ульяновск	2-й переулок Мира
Калужская область	Калуга	улица Ленина
Москва	Москва	улица Маршала Ерёменко
Москва	Москва	Юго-Восточный административный округ
Калужская область	Калуга	улица Кутузова
Ростовская область	Ростов-на-Дону	улица Тружеников
Москва	Москва	Лухмановская улица
Санкт-Петербург	Санкт-Петербург	улица Маршала Казакова
Москва	Москва	улица Винокурова
Калужская область	Калуга	Ольговский переулок
Ярославская область	Ярославль	жилой район Липовая Гора, Малая Техническая улица
Санкт-Петербург	Санкт-Петербург	проспект Энергетиков
Ярославская область	Ярославль	проспект Фрунзе
Брянская область	Брянск	Московский проспект
Свердловская область	Екатеринбург	Чкаловский район, микрорайон Вторчермет, Коллективный переулок
Ярославская область	Ярославль	жилой район Липовая Гора, улица Пирогова
Ярославская область	Ярославль	Суздальская улица
Саратовская область	Саратов	улица имени Б.Н. Ерёмина
Ярославская область	Ярославль	Ярославская улица
Ярославская область	Ярославль	улица Чкалова
Калужская область	посёлок Воротынск	Берёзовая улица
Краснодарский край	Краснодар	микрорайон Завод Измерительных Приборов, улица Курчатова
Воронежская область	Воронеж	Минская улица
Ростовская область	Ростов-на-Дону	улица Висаитова
Калужская область	Калуга	улица Маршала Жукова
Ярославская область	Ярославль	проспект Толбухина
Московская область	Пушкино	улица Чехова
Тюменская область	Тюмень	улица Пермякова
Московская область	Люберцы	улица Гоголя
Орловская область	Орёл	Раздольная улица
Ростовская область	Ростов-на-Дону	Стабильная улица
Самарская область	Самара	Кузнецкая улица
Краснодарский край	Краснодар	Душистая улица
Смоленская область	Смоленск	улица Шевченко
Краснодарский край	Краснодар	микрорайон Сельскохозяйственный Институт, Харьковская улица
Красноярский край	Красноярск	улица Чернышевского
Ярославская область	Ярославль	Тутаевское шоссе
Хабаровский край	Хабаровск	улица Гайдара
Московская область	Королёв	микрорайон Юбилейный, Комитетская улица
Свердловская область	Берёзовский	улица Гагарина
Ивановская область	деревня Дерябиха	
Самарская область	Самара	улица Силина
Ульяновская область	Ульяновск	Московское шоссе
Краснодарский край	Краснодар	Сормовская улица
